iteration     2938
 status:           0
 it:        2938
 if flag=0, a maximum was founded satisfying
 convergence criteria and maximum number
 of iteractions
 if flag=1, the maximum number of iteractions
 was exceded
 MELHOR MODELO - COMPLEX          832
 Funcao Objeto =   3.9014063E-04
    0.0735    36.5535    14.4516
    0.0513    14.0715     7.4822
    0.0392    19.2857     9.0986
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1143   203.3814    66.1682
    0.1460   217.2267    70.4603
    0.1586   103.7133    35.2711
    0.1460    78.9212    27.5856
    0.0649    14.6419     7.6590
    0.0303     6.6045     5.1674
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1330   150.0120    49.6237
    0.1436   177.3366    58.0943
    0.1144   178.8475    58.5627
    0.1457   139.8406    46.4706
    0.1137   114.4388    38.5960
    0.0572    16.3942     8.2022
    0.0333     3.0387     4.0620
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0833    58.5131    21.2591
    0.1066    95.7263    32.7952
    0.1201   116.6619    39.2852
    0.0784   114.0255    38.4679
    0.0704    37.4295    14.7232
    0.0916    65.2785    23.3563
    0.0855    13.8742     7.4210
    0.0282     3.7395     4.2792
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0700    13.1551     7.1981
    0.0288    34.0178    13.6655
    0.0469    11.7766     6.7708
    0.0715    35.0007    13.9702
    0.0977    39.9907    15.5171
    0.1008    69.8233    24.7652
    0.1005    24.3921    10.6815
    0.0287     3.6454     4.2501
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0534    11.8969     6.8080
    0.0198     4.2616     4.4411
    0.0358     8.9586     5.8972
    0.0322     7.1213     5.3276
    0.0380     8.0527     5.6163
    0.0995    65.4046    23.3954
    0.0650    34.1923    13.7196
    0.0449    14.1697     7.5126
    0.0000     0.0000     3.1200
    0.0477    33.6964    13.5659
    0.0834    12.4435     6.9775
    0.0242     7.4516     5.4300
    0.0256     5.0138     4.6743
    0.0285    12.0122     6.8438
    0.0164     1.1054     3.4627
    0.0302    12.2082     6.9045
    0.0717    30.3978    12.5433
    0.0755    16.6977     8.2963
    0.0000     0.0000     3.1200
    0.0480    18.6103     8.8892
    0.0344    16.0808     8.1051
    0.0640    23.4203    10.3803
    0.0497    15.7468     8.0015
    0.0745    15.9480     8.0639
    0.0376     7.1803     5.3459
    0.0384    10.5304     6.3844
    0.0389     6.8260     5.2361
    0.0456     7.0321     5.2999
    0.0000     0.0000     3.1200
    0.0282     4.1530     4.4074
    0.0403    17.6269     8.5843
    0.0643    46.8593    17.6464
    0.0537    22.5048    10.0965
    0.0289     4.6434     4.5595
    0.0441     3.2874     4.1391
    0.1025    14.5835     7.6409
    0.0812     7.6961     5.5058
    0.0764    27.4582    11.6321
    0.0000     0.0000     3.1200
    0.0900    40.8662    15.7885
    0.0590    24.2037    10.6231
    0.1112    68.2344    24.2727
    0.0897    71.8369    25.3894
    0.0398    13.3779     7.2672
    0.0548    10.2428     6.2953
    0.0864    59.4185    21.5397
    0.0895    35.0118    13.9737
    0.1150    12.7551     7.0741
    0.0743    29.2496    12.1874
    0.0872    18.0447     8.7139
    0.1098    24.3641    10.6729
    0.1071   140.0612    46.5390
    0.0857    90.6787    31.2304
    0.0697    25.8626    11.1374
    0.0613    13.1410     7.1937
    0.0794    19.1659     9.0614
    0.0643    22.6420    10.1390
    0.0491     4.3149     4.4576
    0.0767    13.4300     7.2833
    0.0410     3.3209     4.1495
    0.0395     2.4768     3.8878
    0.0716    16.6247     8.2737
    0.0890    49.5915    18.4934
    0.0688    32.0311    13.0497
    0.0890    61.8272    22.2864
    0.0976    55.6761    20.3796
    0.1017    31.9456    13.0231
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0385     5.7585     4.9051
    0.0605    19.6723     9.2184
    0.1371    87.4210    30.2205
    0.0996    24.4818    10.7094
    0.0817    48.3679    18.1140
    0.1620    92.8053    31.8897
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1984   768.4923   241.3526
    0.2399   721.2371   226.7035
    0.2326   337.4518   107.7301
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0999   483.1553   152.8981
    0.2330   573.2017   180.8125
    0.2238   741.4500   232.9695
    0.2110   580.6156   183.1108
    0.2178   394.8785   125.5323
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1470   405.3440   128.7766
    0.1463   278.5941    89.4842
    0.1432   156.9731    51.7817
    0.1212   418.8426   132.9612
    0.1805   733.4645   230.4940
    0.2314   758.4017   238.2245
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1865   519.3914   164.1313
    0.1717   163.8224    53.9050
    0.2121   447.2647   141.7721
    0.1034   311.5070    99.6872
    0.1053   149.3831    49.4288
    0.1694   202.0145    65.7445
    0.1671   430.9477   136.7138
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1242   416.3917   132.2014
    0.2289   318.9491   101.9942
    0.1679   319.1169   102.0462
    0.1624   216.9720    70.3813
    0.0933    77.1377    27.0327
    0.1301   230.6151    74.6107
    0.2272   205.7913    66.9153
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1101    36.2204    14.3483
    0.0858    54.2503    19.9376
    0.1306   141.0282    46.8387
    0.2041   165.2930    54.3608
    0.1535   169.3187    55.6088
    0.2195   103.9446    35.3428
    0.1332    58.7255    21.3249
    0.2149   279.7221    89.8339
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0576    46.6519    17.5821
    0.1101    87.8203    30.3443
    0.1383   102.8298    34.9972
    0.1506   156.8367    51.7394
    0.1910   308.1622    98.6503
    0.1818   672.1954   211.5006
    0.1749   338.6686   108.1073
    0.1433    82.8360    28.7992
    0.0000     0.0000     3.1200
    0.1700   482.5392   152.7071
    0.0803    52.8236    19.4953
    0.0371    24.5634    10.7346
    0.0794    49.9245    18.5966
    0.1043   140.9382    46.8108
    0.1354   193.4349    63.0848
    0.1693   436.6720   138.4883
    0.2171   293.4669    94.0947
    0.2170   651.0453   204.9440
    0.0000     0.0000     3.1200
    0.2312   709.0544   222.9269
    0.1750   411.2979   130.6224
    0.1093   149.7640    49.5468
    0.0333    12.8516     7.1040
    0.0386    47.8005    17.9381
    0.1066   168.1204    55.2373
    0.1605   287.3677    92.2040
    0.2257   520.1481   164.3659
    0.1687   330.4819   105.5694
    0.0000     0.0000     3.1200
    0.1931   706.0435   221.9935
    0.2211   618.9852   195.0054
    0.1682   338.6671   108.1068
    0.1197   344.5435   109.9285
    0.0570    45.2508    17.1478
    0.0422    54.1042    19.8923
    0.1071   237.2134    76.6562
    0.1713   266.1733    85.6337
    0.2004   461.6718   146.2383
    0.0000     0.0000     3.1200
    0.1468   468.1446   148.2448
    0.2360   657.7788   207.0314
    0.2229   646.7474   203.6117
    0.1592   613.3447   193.2569
    0.1893   528.6373   166.9976
    0.1183   100.0864    34.1468
    0.1112   219.1818    71.0663
    0.1169   165.8615    54.5371
    0.0840    93.3824    32.0686
    0.0000     0.0000     3.1200
    0.1003   111.4998    37.6849
    0.2244   459.8051   145.6596
    0.2009   626.1418   197.2240
    0.1814   618.1772   194.7549
    0.1874   749.8569   235.5757
    0.1635   444.6532   140.9625
    0.1227   117.5928    39.5738
    0.1379   105.8155    35.9228
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.2051   695.3441   218.6767
    0.1726   689.0197   216.7161
    0.2034   588.1246   185.4386
    0.2383   763.2480   239.7269
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1513    36.6936    14.4950
    0.1072    30.2986    12.5126
    0.0984    59.6785    21.6203
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1709   167.6330    55.0862
    0.1321   398.2496   126.5774
    0.1519   446.1503   141.4266
    0.1174   201.0927    65.4587
    0.1080   160.6499    52.9215
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0714    38.1632    14.9506
    0.1197    81.8187    28.4838
    0.2275   457.2005   144.8522
    0.1879   504.4973   159.5141
    0.1596   380.5931   121.1039
    0.1465   126.3902    42.3010
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0166     2.4252     3.8718
    0.0472    13.2266     7.2203
    0.1186    26.0826    11.2056
    0.1523   341.8469   109.0925
    0.1627   619.6986   195.2266
    0.1916   413.5863   131.3318
    0.1492   247.0334    79.7004
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0326     4.0513     4.3759
    0.0501     5.0928     4.6988
    0.0791    68.1696    24.2526
    0.1585   298.1436    95.5445
    0.2012   239.9249    77.4967
    0.1306   147.3648    48.8031
    0.1512   203.8552    66.3151
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0763     1.8010     3.6783
    0.0352     2.5033     3.8960
    0.1046    82.5873    28.7221
    0.1440   138.4959    46.0537
    0.1365   184.5314    60.3247
    0.0590    38.4798    15.0487
    0.0834    55.2909    20.2602
    0.1228    50.7012    18.8374
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1169     8.7023     5.8177
    0.0536    20.5692     9.4964
    0.1748   310.4027    99.3448
    0.1171   129.2391    43.1841
    0.0956    28.0432    11.8134
    0.0249    29.0507    12.1257
    0.0927    41.3106    15.9263
    0.0928    43.5309    16.6146
    0.0000     0.0000     3.1200
    0.0489    31.7768    12.9708
    0.0514    17.5263     8.5531
    0.1514    95.4414    32.7068
    0.1400   253.7968    81.7970
    0.1679   177.2570    58.0697
    0.1003    22.0306     9.9495
    0.0844    60.4818    21.8694
    0.0870    58.3575    21.2108
    0.1130   128.3279    42.9016
    0.0000     0.0000     3.1200
    0.0517    16.5446     8.2488
    0.0984    32.3202    13.1392
    0.2010   136.6508    45.4817
    0.1883   353.0454   112.5641
    0.1256   251.9271    81.2174
    0.0827    20.8732     9.5907
    0.1209    39.2204    15.2783
    0.1195   122.3517    41.0490
    0.2226   426.9918   135.4875
    0.0000     0.0000     3.1200
    0.0264    10.5437     6.3886
    0.0798    14.6314     7.6557
    0.1550   344.9999   110.0700
    0.1596   486.0632   153.7996
    0.1386   155.2923    51.2606
    0.1015    41.1211    15.8675
    0.1236    95.6299    32.7653
    0.1593   388.1327   123.4411
    0.2037   352.3793   112.3576
    0.0000     0.0000     3.1200
    0.0436     5.8308     4.9275
    0.0696    10.4569     6.3616
    0.1308    93.3457    32.0572
    0.1551   246.6629    79.5855
    0.1094   156.0170    51.4853
    0.1488   134.0824    44.6855
    0.1532   317.0259   101.3980
    0.1644   389.0966   123.7399
    0.1394   345.0768   110.0938
    0.0000     0.0000     3.1200
    0.0200     2.1157     3.7759
    0.0353     5.6418     4.8690
    0.1337    57.3494    20.8983
    0.1215    87.7482    30.3219
    0.1416   131.8948    44.0074
    0.1734   221.5202    71.7913
    0.1656   306.6589    98.1843
    0.1322   139.4599    46.3526
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1593    21.0075     9.6323
    0.0655    26.6634    11.3856
    0.0852    26.6678    11.3870
    0.0957   103.9723    35.3514
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0160     6.7124     5.2008
    0.0705    42.1654    16.1913
    0.0830   297.7957    95.4367
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1826   198.4572    64.6417
    0.2027    20.5181     9.4806
    0.0469     4.7218     4.5837
    0.0421    17.2084     8.4546
    0.1218    62.1160    22.3759
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1857   736.4700   231.4257
    0.2274   699.4047   219.9354
    0.2202   366.8306   116.8375
    0.0894    20.5567     9.4926
    0.0949    34.4744    13.8071
    0.0735    14.4059     7.5858
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1910   670.6288   211.0149
    0.2034   641.6588   202.0342
    0.2304   585.1350   184.5119
    0.2092   476.4946   150.8333
    0.1685   170.8144    56.0725
    0.1330    80.0045    27.9214
    0.1218   399.5384   126.9769
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1591   614.7139   193.6813
    0.2316   769.0917   241.5384
    0.2033   765.3656   240.3833
    0.2142   536.8645   169.5480
    0.2290   731.8583   229.9961
    0.2059   212.4091    68.9668
    0.1206   154.5514    51.0309
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.2261   621.9564   195.9265
    0.1260   385.2830   122.5577
    0.1402   257.9725    83.0915
    0.1382   176.3719    57.7953
    0.2338   621.4387   195.7660
    0.2155   615.9316   194.0588
    0.2110   692.0900   217.6679
    0.2210   771.7020   242.3476
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.2167   596.1726   187.9335
    0.2474   582.4028   183.6649
    0.1648   573.0865   180.7768
    0.0534   162.9508    53.6348
    0.1427   261.0641    84.0499
    0.1439   737.3975   231.7132
    0.1570   553.7073   174.7693
    0.1828   643.4742   202.5970
    0.0000     0.0000     3.1200
    0.1708   610.2926   192.3107
    0.2183   616.8894   194.3557
    0.2551   661.7142   208.2514
    0.2391   721.6572   226.8337
    0.1479   444.0980   140.7904
    0.1187   177.7305    58.2165
    0.0562    95.7528    32.8034
    0.0716   319.9788   102.3134
    0.1205   411.4352   130.6649
    0.0000     0.0000     3.1200
    0.1753   323.0079   103.2524
    0.2480   507.3949   160.4124
    0.2514   448.5847   142.1812
    0.2001   631.1433   198.7744
    0.1732   682.2776   214.6261
    0.2093   450.8020   142.8686
    0.1459   334.2079   106.7244
    0.1555   102.2343    34.8126
    0.1097   358.3306   114.2025
    0.0000     0.0000     3.1200
    0.0515    22.8117    10.1916
    0.0672    39.7072    15.4292
    0.1266    59.7572    21.6447
    0.2594   592.3026   186.7338
    0.1832   762.5828   239.5207
    0.1783   740.4285   232.6528
    0.2256   782.0284   245.5488
    0.1810   757.3452   237.8970
    0.2192   223.5197    72.4111
    0.0000     0.0000     3.1200
    0.0559    97.2001    33.2520
    0.0572    31.4086    12.8567
    0.0933    19.3906     9.1311
    0.1714   165.8453    54.5321
    0.2065   347.3034   110.7841
    0.2585   757.0504   237.8056
    0.2150   596.7375   188.1086
    0.2326   673.2224   211.8189
    0.2294   783.6632   246.0556
    0.0000     0.0000     3.1200
    0.2135   148.2657    49.0824
    0.1650   124.5977    41.7453
    0.1014   166.5522    54.7512
    0.1052   111.5423    37.6981
    0.1635   162.5154    53.4998
    0.2021   447.9073   141.9713
    0.1992   470.9945   149.1283
    0.1797   763.9043   239.9303
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1240   349.8300   111.5673
    0.2208   407.9736   129.5918
    0.2271   443.2073   140.5143
    0.2126   534.0447   168.6739
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
 PARAMETROS DE ENTRADA DA SIMULACAO
 alpha   1.300000    
 delta=  1.0000000E-03
 itmax=       10000
 beta=  5.0000002E-04
 gamma=           2
 inund=  1.3000000E-03
 ruido=  0.3000000    
 semente=  1851439128
 std_k=   2.000000    
 std_wcut=  0.1000000    
 std_bhp=   5000.000    
 std_gor=   500.0000    
 N_pairs=         862
 lambda_por_glb=  9.9999998E-03
 Tempo total de execucao    16.64603     horas
