"prod",4
"tempo(anos)","tempo(data)","gor truth","wct_truth","bhp_truth","gor_melhor","wct_melhor","bhp_melhor","gor_pior","wct_pior","bhp_pior"
0.3,"1967-05-01",69.7771,2.8264E-008,18526.69922,72.92,3.1646E-008,20895.08008,72.93,3.1251E-008,20881.61914
0.4,"1967-06-01",65.868,4.0858E-008,18407.40039,72.48,4.9182E-008,20764.01953,72.49,4.8653E-008,20750.39062
0.5,"1967-07-01",76.0703,4.9421E-008,18313.09961,72.13,6.6028E-008,20665.84961,72.14,6.542E-008,20652.00977
0.5,"1967-07-02",72.2837,4.6927E-008,20501,72.19,6.2782E-008,21773.86914,72.21,6.2215E-008,21768.55078
0.6,"1967-08-01",63.0431,3.6857E-008,20602.09961,72.51,4.7771E-008,21890.96094,72.52,4.7376E-008,21884.93945
0.7,"1967-09-01",70.8884,3.5343E-008,20591.80078,72.55,4.5985E-008,21894.56055,72.56,4.5637E-008,21888.25977
0.7,"1967-10-01",82.9304,4.0091E-008,20570.30078,72.51,4.7534E-008,21882.5293,72.52,4.7159E-008,21876.34961
0.8,"1967-10-02",84.4117,3.7296E-008,21657.40039,72.55,4.6E-008,22431.96094,72.56,4.5642E-008,22430.03906
0.8,"1967-11-01",71.0521,3.1371E-008,21732.5,72.77,3.6834E-008,22513.05078,72.78,3.6594E-008,22510.42969
0.9,"1967-12-01",60.092,2.7709E-008,21747.69922,72.86,3.3497E-008,22533.61914,72.87,3.328E-008,22530.98047
1,"1968-01-01",74.8574,2.7359E-008,21753.90039,72.89,3.2355E-008,22543.83984,72.9,3.2136E-008,22541.26953
1,"1968-01-02",0,0,23032.09961,0,0,23088.2793,0,0,23089.96094
2,"1969-01-01",0,0,23108.30078,0,0,23394.48047,0,0,23396.61914
3,"1970-01-01",0,0,23191,0,0,23485.58008,0,0,23487.49023
4,"1971-01-01",0,0,23237.30078,0,0,23534.99023,0,0,23536.11914
4,"1971-01-02",83.4357,2.4797E-009,20077.19922,74.25,2.5161E-009,21938.69922,74.11,2.4727E-009,21926.05078
4.5,"1971-07-01",78.6313,4.016E-008,19340.40039,72.62,4.5584E-008,21186.93945,72.63,4.5267E-008,21176.5293
5,"1972-01-01",71.1351,9.9609E-008,19007.5,71.43,1.1264E-007,20851.75,71.43,1.1035E-007,20841.09961
5,"1972-01-02",0,0,22381.80078,0,0,22562.41992,0,0,22563.35938
5,"1972-01-15",0,0,22548.5,0,0,22739.07031,0,0,22738.24023
5,"1972-01-16",55.9936,8.3719E-008,19229.5,71.73,9.3483E-008,21061.76953,71.73,9.0618E-008,21049.10938
5.5,"1972-07-01",67.7433,2.152E-007,18804.80078,70.7,1.8508E-007,20654.81055,70.71,1.7207E-007,20644.91016
6,"1973-01-01",80.0177,7.1833E-007,18594.69922,70.03,3.1975E-007,20451.4707,70.14,2.3842E-007,20430.05078
6,"1973-01-02",0,0,22075.69922,0,0,22217.68945,0,0,22208.60938
6,"1973-01-15",0,0,22247.19922,0,0,22399.57031,0,0,22390.68945
6,"1973-01-16",65.5849,6.1551E-007,18825.40039,70.65,2.4919E-007,20669.36914,70.62,1.9485E-007,20648.59961
6.5,"1973-07-01",65.1922,1.7814E-006,18446.5,69.75,4.76E-007,20316.32031,69.74,3.1533E-007,20302.31055
7,"1974-01-01",72.6382,7.6609E-006,18268.5,69.25,1.0099E-006,20164.0293,69.22,4.9864E-007,20145.36914
7,"1974-01-02",0,0,21863.40039,0,0,21975.85938,0,0,21966.59961
7,"1974-01-15",0,0,22038.19922,0,0,22162.58008,0,0,22153.48047
7,"1974-01-16",81.9354,7.2684E-006,18505.59961,69.89,8.7986E-007,20389.26953,69.85,4.0429E-007,20371.09961
7.5,"1974-07-01",66.4579,1.9027E-005,18131.69922,69.08,1.5119E-006,20067.64062,69.03,6.9093E-007,20043.88086
8,"1975-01-01",69.0757,6.1702E-005,17913.59961,68.58,2.2223E-006,19911.49023,68.64,1.1684E-006,19890.21094
8,"1975-01-02",0,0,21687.69922,0,0,21766.61914,0,0,21754.65039
8,"1975-01-15",0,0,21864.19922,0,0,21958.64062,0,0,21946.9707
8,"1975-01-16",68.3104,6.032E-005,18155.40039,69.23,2.0085E-006,20145.49023,69.19,1.1753E-006,20124.99023
8.5,"1975-07-01",74.571,0.00012223,17734.5,68.4,2.5781E-006,19811.33008,68.36,2.3503E-006,19786.83008
9,"1976-01-01",73.1525,0.00027796,17484.80078,67.99,3.7156E-006,19648.94922,67.89,9.3993E-006,19628.7793
9,"1976-01-02",0,0,21531.59961,0,0,21550.32031,0,0,21552.81055
9,"1976-01-15",0,0,21712.30078,0,0,21751.28906,0,0,21753.0293
9,"1976-01-16",72.0963,0.00027305,17737.80078,68.56,4.0306E-006,19895.16992,68.57,9.2845E-006,19873.98047
9.5,"1976-07-01",58.8383,0.00045368,17274.69922,67.72,9.5033E-006,19543.5,67.8,2.4172E-005,19511.0293
10,"1977-01-01",71.5932,0.0011291,16979.19922,67.35,2.8441E-005,19369.73047,67.42,0.00011603,19313.15039
10,"1977-01-02",0,0,21408.19922,0,0,21357.21094,0,0,21384.82031
10,"1977-01-15",0,0,21595.59961,0,0,21566.16016,0,0,21591.44922
10,"1977-01-16",69.1463,0.0016609,17247.19922,67.97,3.9655E-005,19626.21094,68.04,0.00016464,19565.56055
10.5,"1977-07-01",68.409,0.0037909,16722.80078,67.22,0.00010256,19232.91992,67.29,0.00049434,19122.03906
11,"1978-01-01",66.2272,0.0087326,16308.30078,66.8,0.00063318,18960.05078,67.01,0.0047974,18782.92969
11,"1978-01-02",0,0,21309.5,0,0,21216.83008,0,0,21262.66992
11,"1978-01-15",0,0,21501.19922,0,0,21426.96094,0,0,21470.56055
11,"1978-01-16",69.4732,0.0097608,16586.19922,67.51,0.00065136,19216.9707,67.65,0.007252,19036.5293
11.5,"1978-07-01",63.8447,0.02445,15856.2002,66.74,0.005709,18694.46094,66.87,0.023361,18418.18945
12,"1979-01-01",61.3428,0.062732,15213.5,66.41,0.019895,18240.16016,66.51,0.067603,17883.75977
12,"1979-01-02",0,0,21194.90039,0,0,21072.58008,0,0,21106.58008
12,"1979-01-15",0,0,21393.5,0,0,21284.53906,0,0,21323.44922
12,"1979-01-16",68.1324,0.058014,15508.7998,67.04,0.029476,18503.28906,67.15,0.086849,18155.9707
12.5,"1979-07-01",61.6895,0.11082,14600,66.24,0.061138,17803.57031,66.29,0.15724,17454.36914
13,"1980-01-01",72.6215,0.18881,13884.7002,65.68,0.15296,17263.59961,65.62,0.2637,17011.51953
13,"1980-01-02",0,0,21014.59961,0,0,20838.4707,0,0,20869.01953
13,"1980-01-15",0,0,21231.40039,0,0,21070.94922,0,0,21117.14062
13,"1980-01-16",61.1421,0.19242,14221.7002,66.32,0.1821,17564.05078,66.45,0.27371,17340.91992
13.5,"1980-07-01",67.2115,0.26156,13269.7002,65.26,0.24162,16848.9707,65.36,0.32573,16730.15039
14,"1981-01-01",66.5292,0.28538,12696.5,64.6,0.32119,16487.9707,64.72,0.37201,16425.05078
14,"1981-01-02",0,0,20768.5,0,0,20552.38086,0,0,20594.66992
14,"1981-01-15",0,0,21008.69922,0,0,20816.78906,0,0,20871.91992
14.1,"1981-01-16",65.6707,0.33132,13091.2002,65.47,0.32973,16845.63086,65.65,0.3801,16798.65039
14.5,"1981-07-01",72.6549,0.36531,12296.7002,64.38,0.35936,16261.26953,64.49,0.39775,16210.38965
15,"1982-01-01",68.0716,0.4073,11885.7998,63.9,0.38824,15977.5,64.01,0.41578,15919.25
15,"1982-01-02",0,0,20568.19922,0,0,20303.69922,0,0,20325.36914
15,"1982-01-15",0,0,20824.69922,0,0,20594.93945,0,0,20629.89062
15.1,"1982-01-16",63.3646,0.38916,12318.7998,64.77,0.40338,16375.50977,64.88,0.4313,16333.75977
15.5,"1982-07-01",67.0902,0.42795,11573.2998,63.65,0.41403,15817.38965,63.68,0.44022,15741.23047
16,"1983-01-01",65.0252,0.41461,11198.09961,63.1,0.43197,15569.37012,63.11,0.4588,15471.87988
16,"1983-01-02",0,0,20412.19922,0,0,20090.51953,0,0,20098.35938
16,"1983-01-15",0,0,20680.30078,0,0,20402.91992,0,0,20425.24023
16.1,"1983-01-16",69.8223,0.41099,11658,64.13,0.44071,15998.41016,64.21,0.46822,15918.79004
16.5,"1983-07-01",57.552,0.42811,10906.40039,62.97,0.44567,15414.51953,62.97,0.477,15277.70996
"prod15"
"tempo(anos)","tempo(data)","gor_truth","wct_truth","bhp_truth","gor_melhor","wct_melhor","bhp_melhor","gor_pior","wct_pior","bhp_pior"
0,"1967-01-01",0,0,20979.30078,0,0,21290.05078,0,0,21283.60938
0,"1967-01-02",74.4979,2.3382E-010,20947.80078,74,2.5326E-010,21257.74023,74,2.793E-010,21250.16992
0.1,"1967-02-01",71.4811,6.4196E-007,20789.90039,74,6.7752E-007,21087.66992,74,7.0497E-007,21079.36914
0.2,"1967-03-01",78.0604,2.69E-006,20698.69922,73.86,2.8899E-006,20986.88086,73.85,2.9803E-006,20977.36914
0.2,"1967-04-01",74.8204,6.1349E-006,20604.80078,73.64,6.7824E-006,20886.41016,73.63,6.955E-006,20875.59961
0.2,"1967-04-02",68.3851,6.4328E-006,18121.19922,73.57,7.0623E-006,18406,73.56,7.2419E-006,18386
0.3,"1967-05-01",75.0865,1.7673E-005,17814.90039,73.15,1.6847E-005,18070.99023,73.13,1.7146E-005,18047.5293
0.4,"1967-06-01",84.851,4.438E-005,17557.40039,72.69,4.1445E-005,17788.31055,72.67,4.1919E-005,17762.34961
0.5,"1967-07-01",85.3041,7.9753E-005,17319.09961,72.23,8.6121E-005,17527.96094,72.21,8.6611E-005,17501.03906
0.5,"1967-07-02",79.9975,7.5403E-005,20008,72.29,8.6969E-005,20230.24023,72.26,8.7448E-005,20213.41992
0.6,"1967-08-01",76.3856,8.9845E-005,20008.80078,72.35,0.00010471,20230.24023,72.33,0.00010522,20212.94922
0.7,"1967-09-01",72.7123,0.00011838,19962,72.28,0.00013228,20178.98047,72.26,0.00013261,20161.32031
0.7,"1967-10-01",76.4547,0.00013691,19913.40039,72.21,0.00015933,20126.60938,72.19,0.00015941,20108.85938
0.8,"1967-10-02",74.9992,0.0001384,21293.59961,72.25,0.00015984,21518.2207,72.22,0.0001599,21505.42969
0.8,"1967-11-01",63.4235,0.0001444,21327.59961,72.36,0.00017023,21556.55078,72.34,0.00016996,21544.50977
0.9,"1967-12-01",69.1312,0.00015724,21335.69922,72.42,0.00018484,21566.99023,72.4,0.00018403,21555.56055
1,"1968-01-01",71.3573,0.00017187,21340.5,72.46,0.00019877,21573.73047,72.43,0.00019744,21562.96094
1,"1968-01-02",0,0,22929.09961,0,0,22975.33008,0,0,22968.78906
2,"1969-01-01",0,0,23050.80078,0,0,23330.63086,0,0,23330.55078
3,"1970-01-01",0,0,23167.80078,0,0,23460.03906,0,0,23461.2207
4,"1971-01-01",0,0,23225.40039,0,0,23522.5,0,0,23523.26953
4,"1971-01-02",76.8785,0.0001368,19227.30078,74.2,0.00016131,19512.80078,74.15,0.00015985,19502.89062
4.5,"1971-07-01",66.9629,0.0003272,18101.69922,72.67,0.00035584,18277.69922,72.65,0.00035442,18259.58008
5,"1972-01-01",68.8507,0.00079675,17212.19922,71.15,0.00091706,17306.33984,71.12,0.00091605,17279.76953
5,"1972-01-02",0,0,22275.19922,0,0,22473.53906,0,0,22462.41992
5,"1972-01-15",0,0,22365,0,0,22572.99023,0,0,22564.25977
5,"1972-01-16",71.0068,0.00098304,17341.40039,71.1,0.0011391,17450.35938,71.07,0.0011397,17427.10938
5.5,"1972-07-01",66.5479,0.0030276,16542.40039,70.2,0.0038228,16620.5,70.16,0.0042011,16556.23047
6,"1973-01-01",63.5317,0.0087231,15860.59961,69.4,0.0083984,15998.54004,69.48,0.014893,14995.05957
6,"1973-01-02",0,0,21879.90039,0,0,22043.9707,0,0,22017.68945
6,"1973-01-15",0,0,21981.80078,0,0,22150.07031,0,0,22128.09961
6,"1973-01-16",68.3388,0.0082167,16031.59961,69.75,0.0080903,16176.91016,69.67,0.020054,15201.19043
6.5,"1973-07-01",64.5114,0.016658,14826.2002,69.04,0.01479,15193.30957,68.92,0.086884,12303.19043
7,"1974-01-01",69.7899,0.088322,12313,68.45,0.065935,12867.7998,68.23,0.2073,9104.67969
7,"1974-01-02",0,0,21595.5,0,0,21748.41016,0,0,21687.58984
7,"1974-01-15",0,0,21704.90039,0,0,21855.66992,0,0,21807.30078
7,"1974-01-16",79.4775,0.090568,12593,68.79,0.062947,13109.0498,68.63,0.20253,9444.62988
7.5,"1974-07-01",57.2665,0.17314,9482.70996,68.14,0.14345,10462.19043,67.89,0.27308,7498.06982
8,"1975-01-01",74.7471,0.28899,7317.27002,67.49,0.23272,8052.37012,67.38,0.30908,6674.49023
8,"1975-01-02",0,0,21304.5,0,0,21455.46094,0,0,21384.0293
8,"1975-01-15",0,0,21429.90039,0,0,21575.44922,0,0,21515.96094
8,"1975-01-16",74.6571,0.27963,7731.93018,67.88,0.22573,8382.75,67.68,0.30653,7054.87012
8.5,"1975-07-01",71.2198,0.3135,6522.66992,67.18,0.28076,6966.37988,66.99,0.31725,6364.72998
9,"1976-01-01",64.5209,0.33141,6031.8501,66.7,0.30575,6293.50977,66.5,0.31782,6113.77002
9,"1976-01-02",0,0,21062.19922,0,0,21168.25977,0,0,21149.32031
9,"1976-01-15",0,0,21191.69922,0,0,21309.25977,0,0,21288.67969
9,"1976-01-16",59.3344,0.32738,6475.06982,67.03,0.30288,6678.60986,66.97,0.31209,6486.79004
9.5,"1976-07-01",79.9832,0.30932,5971.54004,66.36,0.3077,6120.52002,66.39,0.31364,6019.27002
10,"1977-01-01",57.6619,0.31992,5885.7002,65.95,0.30615,5884.41992,65.96,0.31698,5743.56982
10,"1977-01-02",0,0,20883.90039,0,0,20944.80078,0,0,20945.99023
10,"1977-01-15",0,0,21018.09961,0,0,21074.7793,0,0,21087.59961
10,"1977-01-16",68.0478,0.28869,6306.31006,66.28,0.30244,6200.02002,66.33,0.31348,6068.18018
10.5,"1977-07-01",77.9066,0.32588,5884.31982,65.72,0.30458,5712,65.74,0.30939,5750.99023
11,"1978-01-01",58.161,0.33514,5741.3501,65.23,0.29867,5596.0498,65.42,0.30257,5665.56006
11,"1978-01-02",0,0,20718.30078,0,0,20743.25977,0,0,20775.75
11,"1978-01-15",0,0,20851.90039,0,0,20883.44922,0,0,20901.69922
11,"1978-01-16",56.7574,0.31626,6120.93994,65.68,0.29502,5939.66992,65.71,0.30303,5862.9502
11.5,"1978-07-01",57.6195,0.30672,5857.91992,65.08,0.28942,5623.6499,65.18,0.29638,5604.74023
12,"1979-01-01",59.4549,0.29706,5779.72998,64.67,0.28238,5447.14014,64.77,0.31041,1538.09998
12,"1979-01-02",0,0,20548.30078,0,0,20530.60938,0,0,20543.92969
12,"1979-01-15",0,0,20669.5,0,0,20646.68945,0,0,20680.08984
12,"1979-01-16",65.8109,0.28189,6075.0498,64.92,0.28198,5668.93018,65.09,0.32129,2038.68005
12.5,"1979-07-01",65.6191,0.27027,5706.20996,64.35,0.27989,5186.22021,68.46,0.34812,101.32
13,"1980-01-01",57.7444,0.28961,5146.87988,65.01,0.32015,4020.28003,87.39,0.39173,101.32
13,"1980-01-02",0,0,20294.19922,0,0,20176.63086,0,0,20397.50977
13,"1980-01-15",0,0,20395,0,0,20311.11914,0,0,20490.42969
13,"1980-01-16",73.4091,0.26745,5445.62012,66.17,0.33282,101.32,79.11,0.38389,101.32
13.5,"1980-07-01",65.8354,0.34794,3598.92993,71.44,0.35431,101.32,119.85,0.40328,101.32
14,"1981-01-01",74.2038,0.32593,198.675,85.42,0.37953,101.32,152.12,0.42486,101.32
14,"1981-01-02",0,0,20029.09961,0,0,20023.89062,0,0,20143.35938
14,"1981-01-15",0,0,20127.40039,0,0,20118.9707,0,0,20221.57031
14.1,"1981-01-16",85.0264,0.38353,198.675,77.47,0.37206,101.32,128.91,0.41397,101.32
14.5,"1981-07-01",91.6774,0.33367,198.675,104.89,0.38912,101.32,152.44,0.4318,101.32
15,"1982-01-01",127.1877,0.35547,198.675,126.71,0.40545,101.32,163.67,0.44469,101.32
15,"1982-01-02",0,0,19840.19922,0,0,19830.38086,0,0,19902.38086
15,"1982-01-15",0,0,19923.69922,0,0,19913.49023,0,0,19980.18945
15.1,"1982-01-16",83.5797,0.37582,198.675,110.6,0.39939,101.32,139.42,0.43802,101.32
15.5,"1982-07-01",144.5829,0.35665,198.675,128.72,0.41522,101.32,154.83,0.4517,101.32
16,"1983-01-01",127.0988,0.38398,198.675,136.45,0.42791,101.32,157.77,0.46134,101.32
16,"1983-01-02",0,0,19671.90039,0,0,19644.68945,0,0,19707.43945
16,"1983-01-15",0,0,19753.5,0,0,19727.19922,0,0,19787.71094
16.1,"1983-01-16",119.5111,0.39682,198.675,115,0.41853,101.32,132.10001,0.45142,101.32
16.5,"1983-07-01",102.7047,0.41419,198.675,128.42999,0.43075,101.32,145.85001,0.46257,101.32
"prod",1
"tempo(anos)","tempo(data)","gor_truth","wct_truth","bhp_truth","gor_melhor","wct_melhor","bhp_melhor","gor_pior","wct_pior","bhp_pior"
0,"1967-01-01",0,0,22290,0,0,22590.13086,0,0,22589.05078
0,"1967-01-02",83.3573,1.0551E-010,22257.59961,74,1.0941E-010,22556.71094,74,1.0979E-010,22555.57031
0.1,"1967-02-01",77.7709,3.0997E-009,22088.80078,73.74,3.4028E-009,22380.89062,73.74,3.4388E-009,22378.65039
0.2,"1967-03-01",75.4376,6.3447E-009,22017.90039,73.47,7.1326E-009,22305.0293,73.46,7.237E-009,22301.82031
0.2,"1967-04-01",79.4739,1.0057E-008,21955.69922,73.27,1.0794E-008,22238.38086,73.26,1.0982E-008,22234.21094
0.2,"1967-04-02",74.0191,1.1417E-008,20969.40039,73.2,1.2363E-008,21249.92969,73.19,1.2566E-008,21244.38086
0.3,"1967-05-01",81.0917,2.4917E-008,20744.40039,72.69,2.6591E-008,21005.89062,72.67,2.6968E-008,20999.0293
0.4,"1967-06-01",73.5714,4.1602E-008,20612.90039,72.23,4.3464E-008,20864.7207,72.21,4.4169E-008,20855.91992
0.5,"1967-07-01",85.8372,5.2323E-008,20507.19922,71.83,6.2017E-008,20752.2793,71.8,6.3207E-008,20741.5293
0.5,"1967-07-02",66.2727,5.0867E-008,21520.19922,71.88,5.9319E-008,21769.44922,71.86,6.0488E-008,21760.42969
0.6,"1967-08-01",76.7725,4.3559E-008,21591.59961,72.07,5.0122E-008,21839.32031,72.05,5.1325E-008,21829.19922
0.7,"1967-09-01",72.723,4.4821E-008,21582.09961,72.06,5.095E-008,21828.34961,72.03,5.2268E-008,21817.58984
0.7,"1967-10-01",76.4871,4.7265E-008,21563.59961,72,5.3661E-008,21808.75,71.97,5.5044E-008,21797.78906
0.8,"1967-10-02",80.3678,4.5054E-008,22068.5,72.03,5.2245E-008,22315.91016,72,5.3609E-008,22305.90039
0.8,"1967-11-01",57.5834,3.8583E-008,22126.40039,72.2,4.4758E-008,22376.16992,72.17,4.6014E-008,22366.19922
0.9,"1967-12-01",71.6864,3.6305E-008,22141.5,72.27,4.1776E-008,22393.08984,72.24,4.2938E-008,22383.4707
1,"1968-01-01",64.4645,3.4141E-008,22149.59961,72.3,4.0518E-008,22403.03906,72.27,4.1608E-008,22393.83984
1,"1968-01-02",0,0,22851.40039,0,0,22906.92969,0,0,22898.65039
2,"1969-01-01",0,0,22958.09961,0,0,23243.99023,0,0,23241.57031
3,"1970-01-01",0,0,23054.69922,0,0,23349.0293,0,0,23349.11914
4,"1971-01-01",0,0,23106.40039,0,0,23404.13086,0,0,23404.25
4,"1971-01-02",72.2785,2.4648E-009,21649.40039,73.81,2.6061E-009,21945.46094,73.81,2.5968E-009,21944.14062
4.5,"1971-07-01",72.5304,4.2601E-008,20933.09961,72.23,4.6223E-008,21173.67969,72.22,4.6872E-008,21164.57031
5,"1972-01-01",69.5142,1.1125E-007,20575.80078,70.84,1.2491E-007,20783.75,70.81,1.2728E-007,20768.35938
5,"1972-01-02",0,0,22149.40039,0,0,22369.53906,0,0,22359.30078
5,"1972-01-15",0,0,22284.30078,0,0,22505.16992,0,0,22494.23047
5,"1972-01-16",65.2204,9.1793E-008,20738.19922,70.97,1.1488E-007,20948.25977,70.94,1.1727E-007,20934.38086
5.5,"1972-07-01",73.3001,1.8295E-007,20360.40039,69.96,2.0127E-007,20547.17969,69.92,2.0487E-007,20532.05078
6,"1973-01-01",67.1668,2.5356E-007,20149.09961,69.18,2.9639E-007,20312.28906,69.26,2.7745E-007,20282.2793
6,"1973-01-02",0,0,21781.40039,0,0,21951.66016,0,0,21926.24023
6,"1973-01-15",0,0,21918.19922,0,0,22101.83984,0,0,22076.7793
6,"1973-01-16",67.2761,1.9353E-007,20322.59961,69.68,2.3954E-007,20489.88086,69.6,2.4053E-007,20460.64062
6.5,"1973-07-01",80.7901,3.1204E-007,20009.40039,68.85,3.5681E-007,20157.35938,68.76,3.5077E-007,20126.31055
7,"1974-01-01",54.8854,4.5792E-007,19842.59961,68.26,4.8854E-007,19980.63086,68.13,4.7989E-007,19933.5
7,"1974-01-02",0,0,21510.80078,0,0,21664.94922,0,0,21624.80078
7,"1974-01-15",0,0,21651.40039,0,0,21813.30078,0,0,21767.9707
7,"1974-01-16",68.9608,3.9452E-007,20007.30078,68.73,4.1755E-007,20150.0293,68.6,4.1006E-007,20100.7207
7.5,"1974-07-01",60.5695,6.1685E-007,19729.80078,68.02,6.0405E-007,19861.7793,67.86,5.8066E-007,19803.33984
8,"1975-01-01",57.5643,1.075E-006,19549,67.43,9.6508E-007,19679.41016,67.39,7.9368E-007,19616.03906
8,"1975-01-02",0,0,21256.19922,0,0,21408.57031,0,0,21355.4707
8,"1975-01-15",0,0,21392.5,0,0,21550.0293,0,0,21495.46094
8,"1975-01-16",71.2835,9.7374E-007,19714.80078,67.92,8.6938E-007,19851.23047,67.75,7.7367E-007,19789.42969
8.5,"1975-07-01",57.033,1.5613E-006,19432.59961,67.2,1.3365E-006,19562.35938,67.05,1.1716E-006,19505.91016
9,"1976-01-01",69.3255,3.1745E-006,19268.40039,66.76,2.0303E-006,19385.88086,66.55,2.0543E-006,19297.66016
9,"1976-01-02",0,0,21032.30078,0,0,21167.88086,0,0,21127.68945
9,"1976-01-15",0,0,21167.40039,0,0,21307.91016,0,0,21282.56055
9,"1976-01-16",68.7983,3.0444E-006,19447.09961,67.15,2.135E-006,19566.10938,67.07,1.9035E-006,19490.18945
9.5,"1976-07-01",64.7698,5.6758E-006,19118.5,66.44,3.586E-006,19257.08008,66.47,2.8719E-006,19125.0293
10,"1977-01-01",67.5815,9.7181E-006,18839.09961,66.04,6.3106E-006,18982.42969,66.23,5.5608E-006,18844.96094
10,"1977-01-02",0,0,20842.19922,0,0,20935.75977,0,0,20948.56055
10,"1977-01-15",0,0,20994.19922,0,0,21093.46094,0,0,21104.83008
10,"1977-01-16",69.6365,1.1289E-005,19032.90039,66.47,7.0875E-006,19181.71094,66.73,6.208E-006,19049.35938
10.5,"1977-07-01",63.8035,1.6981E-005,18646.40039,65.9,1.0793E-005,18791.83984,66.47,1.0605E-005,18650.59961
11,"1978-01-01",62.1396,3.139E-005,18344.5,65.89,2.2812E-005,18518.44922,67.03,1.8138E-005,18330.99023
11,"1978-01-02",0,0,20681.09961,0,0,20752.28906,0,0,20768.40039
11,"1978-01-15",0,0,20832.90039,0,0,20911.21094,0,0,20924.35938
11,"1978-01-16",61.6473,3.5079E-005,18544,66.32,2.2344E-005,18720.49023,67.04,2.0293E-005,18541.93945
11.5,"1978-07-01",66.01,5.3257E-005,18130.30078,66.02,3.5011E-005,18312.83984,70.49,3.2438E-005,18127.58984
12,"1979-01-01",72.5345,9.8649E-005,17788,67.03,5.5568E-005,17948.50977,74.78,5.2665E-005,17778.53906
12,"1979-01-02",0,0,20486.5,0,0,20513.5,0,0,20542.93945
12,"1979-01-15",0,0,20633,0,0,20668.10938,0,0,20693.56055
12,"1979-01-16",71.0668,9.2257E-005,18015.90039,67.16,6.1225E-005,18169,74.32,5.8187E-005,18020.50977
12.5,"1979-07-01",74.1122,0.00013313,17525.40039,69.8,8.4078E-005,17674.09961,77.55,8.1171E-005,17538.93945
13,"1980-01-01",75.5048,0.00019882,17117.30078,74.14,0.00013529,17233.67969,88.8,0.00014498,17200.56055
13,"1980-01-02",0,0,20190.80078,0,0,20159.4707,0,0,20268.42969
13,"1980-01-15",0,0,20345.09961,0,0,20314.73047,0,0,20426.71094
13,"1980-01-16",85.4755,0.0002084,17366.19922,73.39,0.00014663,17489.35938,79.84,0.00014156,17462.28906
13.5,"1980-07-01",92.4646,0.00030005,16870.19922,76.93,0.00020994,16966.33984,91.99,0.00020151,16974.85938
14,"1981-01-01",114.6285,0.00039126,16514.30078,83.27,0.0003408,16634.44922,100.76,0.00032585,16651.41992
14,"1981-01-02",0,0,19862.80078,0,0,19895.13086,0,0,19975.74023
14,"1981-01-15",0,0,20026.69922,0,0,20058.44922,0,0,20142.65039
14.1,"1981-01-16",93.1868,0.00042377,16794.69922,78.08,0.00033223,16922.2207,87.33,0.00031865,16934.60938
14.5,"1981-07-01",102.5839,0.00051931,16346.30078,84.99,0.00046816,16448.51953,98.54,0.00044642,16457.33984
15,"1982-01-01",124.9826,0.00079094,16068.09961,91.58,0.0006778,16101.66016,103.28,0.00062506,16104.76953
15,"1982-01-02",0,0,19651.40039,0,0,19668.36914,0,0,19713.67969
15,"1982-01-15",0,0,19817.30078,0,0,19839.31055,0,0,19887.46094
15.1,"1982-01-16",98.1904,0.00080182,16363,80.05,0.00073364,16406.76953,88.64,0.0006923,16414.75
15.5,"1982-07-01",121.3862,0.00099573,15918.2002,87.95,0.0010585,15907.58008,97.35,0.0009802,15920.78027
16,"1983-01-01",95.9626,0.0016718,15623.40039,91.46,0.0046059,15481.0498,98.67,0.0029196,15543.08008
16,"1983-01-02",0,0,19481.5,0,0,19479.96094,0,0,19518.86914
16,"1983-01-15",0,0,19647.5,0,0,19655.42969,0,0,19695.48047
16.1,"1983-01-16",98.8556,0.001733,15932.59961,80.64,0.0046817,15819.75,82.16,0.0030086,15874.32031
16.5,"1983-07-01",87.4618,0.0040438,15467.90039,85.58,0.010075,15180.66016,91.21,0.0073139,15307.54004
